subset,dataset,datatype,num_samples,resolution,method,psnr,ssim,mse,hf_ratio
MetalSet-Resist,MetalSet,Resist,100,512,PointWise,42.427733,0.998219,6.4e-05,200.532104
MetalSet-Resist,MetalSet,Resist,100,512,Average,46.853572,0.999357,2.3e-05,198.651338
MetalSet-Resist,MetalSet,Resist,100,512,Fourier,42.403818,0.99765,6.4e-05,199.78487
MetalSet-Resist,MetalSet,Resist,100,1024,PointWise,50.800092,0.999741,9e-06,70.444962
MetalSet-Resist,MetalSet,Resist,100,1024,Average,53.782255,0.99987,5e-06,69.961137
MetalSet-Resist,MetalSet,Resist,100,1024,Fourier,50.585585,0.999167,1e-05,69.933023
MetalSet-Target,MetalSet,Target,100,128,PointWise,22.845994,0.88131,0.005906,0.994211
MetalSet-Target,MetalSet,Target,100,128,Average,27.286005,0.955656,0.002081,0.639349
MetalSet-Target,MetalSet,Target,100,128,Fourier,18.39463,0.327062,0.015543,0.428275
MetalSet-Target,MetalSet,Target,100,256,PointWise,26.170821,0.945063,0.002731,0.998415
MetalSet-Target,MetalSet,Target,100,256,Average,30.359587,0.978669,0.001043,0.662422
MetalSet-Target,MetalSet,Target,100,256,Fourier,18.906143,0.345167,0.013826,0.442664
MetalSet-Target,MetalSet,Target,100,512,PointWise,29.987974,0.976989,0.001123,0.997361
MetalSet-Target,MetalSet,Target,100,512,Average,33.733714,0.990103,0.000484,0.700539
MetalSet-Target,MetalSet,Target,100,512,Fourier,19.469608,0.36476,0.012434,0.472057
MetalSet-Target,MetalSet,Target,100,1024,PointWise,35.009785,0.992456,0.000362,0.997554
MetalSet-Target,MetalSet,Target,100,1024,Average,38.029803,0.996229,0.000181,0.727804
MetalSet-Target,MetalSet,Target,100,1024,Fourier,19.54912,0.36317,0.011652,0.474269
StdContact-Litho,StdContact,Litho,100,128,PointWise,30.514711,0.988046,6.4e-05,7.458181
StdContact-Litho,StdContact,Litho,100,128,Average,35.854183,0.996492,1.9e-05,7.224896
StdContact-Litho,StdContact,Litho,100,128,Fourier,30.467568,0.987624,6.5e-05,7.431946
StdContact-Litho,StdContact,Litho,100,256,PointWise,36.683872,0.997112,1.6e-05,4.008499
StdContact-Litho,StdContact,Litho,100,256,Average,41.547739,0.999057,5e-06,3.848254
StdContact-Litho,StdContact,Litho,100,256,Fourier,36.669124,0.996903,1.6e-05,3.866768
StdContact-Litho,StdContact,Litho,100,512,PointWise,42.743388,0.999284,4e-06,2.428907
StdContact-Litho,StdContact,Litho,100,512,Average,46.723265,0.999714,2e-06,2.199495
StdContact-Litho,StdContact,Litho,100,512,Fourier,42.821601,0.999188,4e-06,2.195815
StdContact-Litho,StdContact,Litho,100,1024,PointWise,48.368613,0.999804,1e-06,1.274166
StdContact-Litho,StdContact,Litho,100,1024,Average,51.309567,0.9999,1e-06,0.918277
StdContact-Litho,StdContact,Litho,100,1024,Fourier,47.998703,0.999692,1e-06,0.928958
StdContact-PixelILT,StdContact,PixelILT,100,128,PointWise,16.292159,0.851162,0.023762,1.039609
StdContact-PixelILT,StdContact,PixelILT,100,128,Average,20.366839,0.938089,0.009282,0.592997
StdContact-PixelILT,StdContact,PixelILT,100,128,Fourier,15.202208,0.637165,0.030516,0.364306
StdContact-PixelILT,StdContact,PixelILT,100,256,PointWise,19.652817,0.931332,0.010964,1.043654
StdContact-PixelILT,StdContact,PixelILT,100,256,Average,23.32336,0.96959,0.004701,0.605849
StdContact-PixelILT,StdContact,PixelILT,100,256,Fourier,17.148532,0.728269,0.01946,0.401178
StdContact-PixelILT,StdContact,PixelILT,100,512,PointWise,23.983972,0.974658,0.00404,1.033571
StdContact-PixelILT,StdContact,PixelILT,100,512,Average,26.885521,0.986834,0.002069,0.66789
StdContact-PixelILT,StdContact,PixelILT,100,512,Fourier,17.828554,0.732359,0.016603,0.414134
StdContact-PixelILT,StdContact,PixelILT,100,1024,PointWise,inf,1.0,0.0,1.0
StdContact-PixelILT,StdContact,PixelILT,100,1024,Average,inf,1.0,0.0,1.0
StdContact-PixelILT,StdContact,PixelILT,100,1024,Fourier,17.737678,0.714924,0.016968,0.381167
StdContact-Printed,StdContact,Printed,100,128,PointWise,22.921418,0.760149,0.005242,1.224201
StdContact-Printed,StdContact,Printed,100,128,Average,27.331426,0.90486,0.001898,0.677978
StdContact-Printed,StdContact,Printed,100,128,Fourier,19.201028,0.166156,0.012148,0.494142
StdContact-Printed,StdContact,Printed,100,256,PointWise,26.177039,0.88673,0.002478,1.231122
StdContact-Printed,StdContact,Printed,100,256,Average,30.363019,0.954827,0.000946,0.705035
StdContact-Printed,StdContact,Printed,100,256,Fourier,20.1239,0.194864,0.009747,0.530136
StdContact-Printed,StdContact,Printed,100,512,PointWise,29.745244,0.950167,0.00109,1.219717
StdContact-Printed,StdContact,Printed,100,512,Average,33.506311,0.978595,0.000458,0.736114
StdContact-Printed,StdContact,Printed,100,512,Fourier,20.702099,0.209986,0.008531,0.557236
StdContact-Printed,StdContact,Printed,100,1024,PointWise,34.222318,0.982227,0.000389,1.177911
StdContact-Printed,StdContact,Printed,100,1024,Average,37.20448,0.990975,0.000195,0.71179
StdContact-Printed,StdContact,Printed,100,1024,Fourier,18.989504,0.173022,0.012647,0.481552
StdContact-Resist,StdContact,Resist,100,128,PointWise,29.756141,0.935799,0.000864,387.509228
StdContact-Resist,StdContact,Resist,100,128,Average,35.191235,0.981291,0.000247,357.048853
StdContact-Resist,StdContact,Resist,100,128,Fourier,29.631513,0.915076,0.000889,398.792038
StdContact-Resist,StdContact,Resist,100,256,PointWise,36.025627,0.984844,0.000204,209.453626
StdContact-Resist,StdContact,Resist,100,256,Average,41.131769,0.995301,6.3e-05,204.743293
StdContact-Resist,StdContact,Resist,100,256,Fourier,36.010956,0.983854,0.000205,210.049083
StdContact-Resist,StdContact,Resist,100,512,PointWise,42.941449,0.996917,4.2e-05,117.620663
StdContact-Resist,StdContact,Resist,100,512,Average,47.307955,0.998871,1.5e-05,116.75969
StdContact-Resist,StdContact,Resist,100,512,Fourier,42.91345,0.996066,4.2e-05,117.341576
StdContact-Resist,StdContact,Resist,100,1024,PointWise,51.268256,0.999547,6e-06,41.122242
StdContact-Resist,StdContact,Resist,100,1024,Average,54.206701,0.99977,3e-06,40.716878
StdContact-Resist,StdContact,Resist,100,1024,Fourier,50.992282,0.998506,6e-06,40.689902
StdContact-Target,StdContact,Target,100,128,PointWise,20.928566,0.781808,0.008327,1.012164
StdContact-Target,StdContact,Target,100,128,Average,25.769994,0.922312,0.002703,0.638268
StdContact-Target,StdContact,Target,100,128,Fourier,20.367355,0.371072,0.009262,0.407536
StdContact-Target,StdContact,Target,100,256,PointWise,23.993128,0.891663,0.004079,1.004104
StdContact-Target,StdContact,Target,100,256,Average,28.513888,0.960197,0.001434,0.653829
StdContact-Target,StdContact,Target,100,256,Fourier,21.126653,0.377596,0.007736,0.44093
StdContact-Target,StdContact,Target,100,512,PointWise,27.604676,0.952722,0.001779,1.000203
StdContact-Target,StdContact,Target,100,512,Average,31.486798,0.980347,0.000726,0.67948
StdContact-Target,StdContact,Target,100,512,Fourier,21.421194,0.371912,0.007222,0.473991
StdContact-Target,StdContact,Target,100,1024,PointWise,31.983779,0.982451,0.000662,0.999902
StdContact-Target,StdContact,Target,100,1024,Average,34.994079,0.991145,0.000331,0.660401
